revenue,expenditure,gdp,population,popu_agri,id,data,pcgdp,pcrevenue,pcexpenditure
.06808,.45443,2.58354,.29,.26,241,1,8.9087582,.23475862,1.567
.08998,.46652,2.38112,.35,.31,242,1,6.8031998,.25708571,1.3329142
.13711,.48698,2.08838,.2,.18,243,1,10.4419,.68554997,2.4349
.01792,.30818,.77438,.17,.14,244,,4.5551763,.10541177,1.8128235
.13952,.58268,2.90912,.15,.13,245,,19.394133,.93013334,3.8845334
.22783,.49794,5.65163,.22,.18,246,,25.689228,1.0355909,2.2633636
.17273,.39083,2.75956,,,247,,,,
.25519,.5200900000000001,5.286,.21,.17,248,,25.171429,1.2151905,2.476619
.31295,.73526,8.4,.39,.32,249,,21.538462,.80243587,1.885282
.04298,.39547,1.752,.26,.23,250,,6.7384615,.16530769,1.5210384
.3821,.7920199999999999,10.28569,.5,.46,251,,20.571381,.76419997,1.58404
.36309,.75486,9.4,.48,.41,252,,19.583334,.75643748,1.572625
.22425,.60427,8.22566,,,253,,,,
.23519,.46612,8.395630000000001,,,254,1,,,
.26273,.73459,5.52034,,,255,,,,
.02987,.42245,1.36061,,,256,,,,
.04587,.29317,1.36718,,,257,,,,
.26164,.69009,7.44989,,,258,1,,,
.40135,.83041,9.26111,,,259,,,,
.10019,.2918,2.13272,.14,.12,260,,15.233714,.71564287,2.0842857
.06898,.48783,1.71248,.16,.14,261,,10.703,.43112499,3.0489376
.06302,.34804,1.40075,.14,.11,262,,10.005357,.45014286,2.4860001
.07089,.37126,1.68917,.24,.2,263,1,7.0382085,.29537499,1.5469167
.13342,.59731,2.9,.21,.17,264,,13.809524,.63533336,2.8443334
.09022,.44525,3.89,.29,.21,265,,13.413794,.31110346,1.5353448
.07297,.37569,3.43052,.26,.21,266,,13.194307,.28065383,1.4449615
.11948,.65319,4.58,.49,.42,267,,9.3469391,.24383673,1.3330408
.26832,.67871,6.55156,.24,.17,268,,27.298166,1.118,2.8279583
.29574,.83884,9.19453,.39,.28,269,,23.575718,.7583077,2.1508718
.1679,.58671,7.85112,,,270,,,,
.05458,.4902,4.72,.54,.5,271,,8.7407408,.10107408,.90777779
.02769,.43407,2.54,.43,.41,272,,5.9069767,.064395346,1.0094651
.18023,.48646,6.86352,.39,.34,273,,17.59877,.46212819,1.2473333
.06903,.36949,2.75,.34,.31,274,1,8.0882349,.20302941,1.0867352
.04449,.3634,2.90972,.32,.28,275,1,9.0928745,.13903125,1.135625
.03277,.37413,2.6772,.28,.23,276,,9.561429,.11703572,1.3361785
